iter= 1270, img_loss=0.306645, reg_loss=0.054608, lr=0.00000, time=1293.0 ms, rem=1.34 h
iter= 1280, img_loss=0.317344, reg_loss=0.056231, lr=0.00000, time=1319.2 ms, rem=1.36 h
iter= 1290, img_loss=0.311433, reg_loss=0.054886, lr=0.00000, time=1298.2 ms, rem=1.34 h
iter= 1300, img_loss=0.320628, reg_loss=0.055712, lr=0.00000, time=1307.4 ms, rem=1.34 h
iter= 1310, img_loss=0.300554, reg_loss=0.053037, lr=0.00000, time=1267.3 ms, rem=1.30 h
iter= 1320, img_loss=0.320695, reg_loss=0.056462, lr=0.00000, time=1325.1 ms, rem=1.35 h
iter= 1330, img_loss=0.308296, reg_loss=0.054934, lr=0.00000, time=1296.5 ms, rem=1.32 h
iter= 1340, img_loss=0.328735, reg_loss=0.056496, lr=0.00000, time=1324.8 ms, rem=1.35 h
iter= 1350, img_loss=0.311824, reg_loss=0.054570, lr=0.00000, time=1291.1 ms, rem=1.31 h
iter= 1360, img_loss=0.315540, reg_loss=0.055971, lr=0.00000, time=1314.7 ms, rem=1.33 h
iter= 1370, img_loss=0.289042, reg_loss=0.052683, lr=0.00000, time=1258.6 ms, rem=1.27 h
iter= 1380, img_loss=0.289202, reg_loss=0.052294, lr=0.00000, time=1252.6 ms, rem=1.26 h
iter= 1390, img_loss=0.299643, reg_loss=0.053031, lr=0.00000, time=1261.4 ms, rem=1.26 h
iter= 1400, img_loss=0.287677, reg_loss=0.051605, lr=0.00000, time=1241.8 ms, rem=1.24 h
iter= 1410, img_loss=0.312617, reg_loss=0.055097, lr=0.00000, time=1300.2 ms, rem=1.30 h
iter= 1420, img_loss=0.313136, reg_loss=0.055613, lr=0.00000, time=1308.6 ms, rem=1.30 h
iter= 1430, img_loss=0.320549, reg_loss=0.056084, lr=0.00000, time=1317.0 ms, rem=1.31 h
iter= 1440, img_loss=0.292138, reg_loss=0.052860, lr=0.00000, time=1258.6 ms, rem=1.24 h
iter= 1450, img_loss=0.319478, reg_loss=0.056644, lr=0.00000, time=1327.0 ms, rem=1.31 h
iter= 1460, img_loss=0.325122, reg_loss=0.057217, lr=0.00000, time=1334.9 ms, rem=1.31 h
iter= 1470, img_loss=0.270428, reg_loss=0.049665, lr=0.00000, time=1205.4 ms, rem=1.18 h
iter= 1480, img_loss=0.303867, reg_loss=0.054241, lr=0.00000, time=1285.0 ms, rem=1.26 h
iter= 1490, img_loss=0.315625, reg_loss=0.056317, lr=0.00000, time=1321.2 ms, rem=1.29 h
iter= 1500, img_loss=0.303933, reg_loss=0.053867, lr=0.00000, time=1279.5 ms, rem=1.24 h
iter= 1510, img_loss=0.316144, reg_loss=0.054835, lr=0.00000, time=1294.0 ms, rem=1.25 h
iter= 1520, img_loss=0.331731, reg_loss=0.058053, lr=0.00000, time=1350.6 ms, rem=1.31 h
iter= 1530, img_loss=0.325323, reg_loss=0.056554, lr=0.00000, time=1325.5 ms, rem=1.28 h
iter= 1540, img_loss=0.304773, reg_loss=0.053366, lr=0.00000, time=1271.5 ms, rem=1.22 h
iter= 1550, img_loss=0.297210, reg_loss=0.052264, lr=0.00000, time=1250.4 ms, rem=1.20 h
iter= 1560, img_loss=0.300242, reg_loss=0.053494, lr=0.00000, time=1270.8 ms, rem=1.21 h
iter= 1570, img_loss=0.325793, reg_loss=0.056179, lr=0.00000, time=1317.4 ms, rem=1.26 h
iter= 1580, img_loss=0.315895, reg_loss=0.055552, lr=0.00000, time=1309.4 ms, rem=1.24 h
iter= 1590, img_loss=0.301115, reg_loss=0.053749, lr=0.00000, time=1276.1 ms, rem=1.21 h
iter= 1600, img_loss=0.311728, reg_loss=0.055097, lr=0.00000, time=1298.5 ms, rem=1.23 h
iter= 1610, img_loss=0.317364, reg_loss=0.056191, lr=0.00000, time=1318.5 ms, rem=1.24 h
iter= 1620, img_loss=0.322413, reg_loss=0.057077, lr=0.00000, time=1334.2 ms, rem=1.25 h
iter= 1630, img_loss=0.306937, reg_loss=0.054596, lr=0.00000, time=1291.4 ms, rem=1.21 h
iter= 1640, img_loss=0.322066, reg_loss=0.056316, lr=0.00000, time=1319.5 ms, rem=1.23 h
iter= 1650, img_loss=0.316833, reg_loss=0.055754, lr=0.00000, time=1310.7 ms, rem=1.22 h
iter= 1660, img_loss=0.319303, reg_loss=0.056202, lr=0.00000, time=1321.4 ms, rem=1.23 h
iter= 1670, img_loss=0.300213, reg_loss=0.052699, lr=0.00000, time=1257.6 ms, rem=1.16 h
iter= 1680, img_loss=0.305049, reg_loss=0.053685, lr=0.00000, time=1276.0 ms, rem=1.18 h
iter= 1690, img_loss=0.293159, reg_loss=0.052622, lr=0.00000, time=1257.5 ms, rem=1.16 h
