iter= 1090, img_loss=0.142188, reg_loss=0.046780, lr=0.00000, time=1180.8 ms, rem=1.28 h
iter= 1100, img_loss=0.140894, reg_loss=0.046709, lr=0.00000, time=1178.8 ms, rem=1.28 h
iter= 1110, img_loss=0.144047, reg_loss=0.046004, lr=0.00000, time=1167.7 ms, rem=1.26 h
iter= 1120, img_loss=0.144825, reg_loss=0.046203, lr=0.00000, time=1169.4 ms, rem=1.26 h
iter= 1130, img_loss=0.136618, reg_loss=0.045214, lr=0.00000, time=1154.2 ms, rem=1.24 h
iter= 1140, img_loss=0.144873, reg_loss=0.046741, lr=0.00000, time=1182.1 ms, rem=1.27 h
iter= 1150, img_loss=0.139919, reg_loss=0.045646, lr=0.00000, time=1161.0 ms, rem=1.24 h
iter= 1160, img_loss=0.141074, reg_loss=0.046598, lr=0.00000, time=1177.5 ms, rem=1.26 h
iter= 1170, img_loss=0.144663, reg_loss=0.045302, lr=0.00000, time=1155.3 ms, rem=1.23 h
iter= 1180, img_loss=0.143026, reg_loss=0.045294, lr=0.00000, time=1155.9 ms, rem=1.23 h
iter= 1190, img_loss=0.140765, reg_loss=0.045684, lr=0.00000, time=1163.1 ms, rem=1.23 h
iter= 1200, img_loss=0.143093, reg_loss=0.045710, lr=0.00000, time=1163.8 ms, rem=1.23 h
iter= 1210, img_loss=0.151418, reg_loss=0.046957, lr=0.00000, time=1186.2 ms, rem=1.25 h
iter= 1220, img_loss=0.142708, reg_loss=0.046244, lr=0.00000, time=1170.1 ms, rem=1.23 h
iter= 1230, img_loss=0.146808, reg_loss=0.046083, lr=0.00000, time=1170.4 ms, rem=1.23 h
iter= 1240, img_loss=0.139336, reg_loss=0.046006, lr=0.00000, time=1164.8 ms, rem=1.22 h
iter= 1250, img_loss=0.142414, reg_loss=0.046682, lr=0.00000, time=1179.0 ms, rem=1.23 h
iter= 1260, img_loss=0.136332, reg_loss=0.044832, lr=0.00000, time=1145.7 ms, rem=1.19 h
iter= 1270, img_loss=0.143994, reg_loss=0.045782, lr=0.00000, time=1164.6 ms, rem=1.21 h
iter= 1280, img_loss=0.141904, reg_loss=0.045707, lr=0.00000, time=1164.4 ms, rem=1.20 h
iter= 1290, img_loss=0.138643, reg_loss=0.045671, lr=0.00000, time=1159.4 ms, rem=1.19 h
iter= 1300, img_loss=0.139606, reg_loss=0.046456, lr=0.00000, time=1177.1 ms, rem=1.21 h
iter= 1310, img_loss=0.140551, reg_loss=0.045885, lr=0.00000, time=1166.2 ms, rem=1.20 h
iter= 1320, img_loss=0.139987, reg_loss=0.046105, lr=0.00000, time=1170.3 ms, rem=1.20 h
iter= 1330, img_loss=0.140650, reg_loss=0.046775, lr=0.00000, time=1177.4 ms, rem=1.20 h
iter= 1340, img_loss=0.139990, reg_loss=0.046868, lr=0.00000, time=1182.5 ms, rem=1.20 h
iter= 1350, img_loss=0.140700, reg_loss=0.046505, lr=0.00000, time=1176.1 ms, rem=1.19 h
iter= 1360, img_loss=0.138956, reg_loss=0.046998, lr=0.00000, time=1182.7 ms, rem=1.20 h
iter= 1370, img_loss=0.143720, reg_loss=0.046409, lr=0.00000, time=1174.0 ms, rem=1.18 h
iter= 1380, img_loss=0.140994, reg_loss=0.046516, lr=0.00000, time=1175.1 ms, rem=1.18 h
iter= 1390, img_loss=0.139379, reg_loss=0.045135, lr=0.00000, time=1151.6 ms, rem=1.15 h
iter= 1400, img_loss=0.142554, reg_loss=0.047054, lr=0.00000, time=1186.4 ms, rem=1.19 h
iter= 1410, img_loss=0.137046, reg_loss=0.046585, lr=0.00000, time=1174.4 ms, rem=1.17 h
iter= 1420, img_loss=0.138617, reg_loss=0.046214, lr=0.00000, time=1170.3 ms, rem=1.16 h
iter= 1430, img_loss=0.141934, reg_loss=0.046681, lr=0.00000, time=1178.0 ms, rem=1.17 h
iter= 1440, img_loss=0.139142, reg_loss=0.045601, lr=0.00000, time=1160.6 ms, rem=1.15 h
iter= 1450, img_loss=0.143930, reg_loss=0.046343, lr=0.00000, time=1173.0 ms, rem=1.16 h
iter= 1460, img_loss=0.144074, reg_loss=0.045847, lr=0.00000, time=1166.7 ms, rem=1.15 h
iter= 1470, img_loss=0.142419, reg_loss=0.047219, lr=0.00000, time=1187.2 ms, rem=1.16 h
iter= 1480, img_loss=0.139835, reg_loss=0.046186, lr=0.00000, time=1169.4 ms, rem=1.14 h
iter= 1490, img_loss=0.150148, reg_loss=0.046900, lr=0.00000, time=1184.8 ms, rem=1.16 h
iter= 1500, img_loss=0.140047, reg_loss=0.045980, lr=0.00000, time=1166.0 ms, rem=1.13 h
iter= 1510, img_loss=0.141102, reg_loss=0.046614, lr=0.00000, time=1178.5 ms, rem=1.14 h
iter= 1520, img_loss=0.140391, reg_loss=0.045272, lr=0.00000, time=1154.2 ms, rem=1.12 h
iter= 1530, img_loss=0.145359, reg_loss=0.046735, lr=0.00000, time=1180.2 ms, rem=1.14 h
iter= 1540, img_loss=0.139718, reg_loss=0.045930, lr=0.00000, time=1167.3 ms, rem=1.12 h
iter= 1550, img_loss=0.137418, reg_loss=0.046479, lr=0.00000, time=1175.7 ms, rem=1.13 h
iter= 1560, img_loss=0.141527, reg_loss=0.046857, lr=0.00000, time=1181.5 ms, rem=1.13 h
iter= 1570, img_loss=0.149537, reg_loss=0.046409, lr=0.00000, time=1173.1 ms, rem=1.12 h
iter= 1580, img_loss=0.143938, reg_loss=0.046250, lr=0.00000, time=1172.0 ms, rem=1.11 h
iter= 1590, img_loss=0.143418, reg_loss=0.047110, lr=0.00000, time=1187.5 ms, rem=1.12 h
iter= 1600, img_loss=0.142749, reg_loss=0.046604, lr=0.00000, time=1178.3 ms, rem=1.11 h
iter= 1610, img_loss=0.131132, reg_loss=0.045676, lr=0.00000, time=1161.0 ms, rem=1.09 h
iter= 1620, img_loss=0.137044, reg_loss=0.046322, lr=0.00000, time=1169.9 ms, rem=1.10 h
iter= 1630, img_loss=0.145372, reg_loss=0.046308, lr=0.00000, time=1173.6 ms, rem=1.10 h
iter= 1640, img_loss=0.143565, reg_loss=0.046528, lr=0.00000, time=1177.2 ms, rem=1.10 h
iter= 1650, img_loss=0.136791, reg_loss=0.047109, lr=0.00000, time=1185.3 ms, rem=1.10 h
iter= 1660, img_loss=0.140890, reg_loss=0.046623, lr=0.00000, time=1177.6 ms, rem=1.09 h
iter= 1670, img_loss=0.140165, reg_loss=0.045585, lr=0.00000, time=1160.2 ms, rem=1.07 h
