iter= 1480, img_loss=0.277245, reg_loss=0.064692, lr=0.00000, time=1538.5 ms, rem=1.50 h
iter= 1490, img_loss=0.313362, reg_loss=0.066142, lr=0.00000, time=1571.0 ms, rem=1.53 h
iter= 1500, img_loss=0.292210, reg_loss=0.065353, lr=0.00000, time=1551.8 ms, rem=1.51 h
iter= 1510, img_loss=0.287882, reg_loss=0.065485, lr=0.00000, time=1550.8 ms, rem=1.50 h
iter= 1520, img_loss=0.280301, reg_loss=0.064962, lr=0.00000, time=1545.6 ms, rem=1.49 h
iter= 1530, img_loss=0.276155, reg_loss=0.064177, lr=0.00000, time=1534.5 ms, rem=1.48 h
iter= 1540, img_loss=0.269406, reg_loss=0.063686, lr=0.00000, time=1521.5 ms, rem=1.46 h
iter= 1550, img_loss=0.285387, reg_loss=0.064409, lr=0.00000, time=1535.1 ms, rem=1.47 h
iter= 1560, img_loss=0.275514, reg_loss=0.063875, lr=0.00000, time=1529.4 ms, rem=1.46 h
iter= 1570, img_loss=0.299352, reg_loss=0.065727, lr=0.00000, time=1563.6 ms, rem=1.49 h
iter= 1580, img_loss=0.289308, reg_loss=0.064113, lr=0.00000, time=1536.7 ms, rem=1.46 h
iter= 1590, img_loss=0.294901, reg_loss=0.064944, lr=0.00000, time=1544.9 ms, rem=1.46 h
iter= 1600, img_loss=0.302743, reg_loss=0.065689, lr=0.00000, time=1560.8 ms, rem=1.47 h
iter= 1610, img_loss=0.294194, reg_loss=0.064369, lr=0.00000, time=1538.0 ms, rem=1.45 h
iter= 1620, img_loss=0.279032, reg_loss=0.064391, lr=0.00000, time=1532.1 ms, rem=1.44 h
iter= 1630, img_loss=0.279193, reg_loss=0.064837, lr=0.00000, time=1542.2 ms, rem=1.44 h
iter= 1640, img_loss=0.297089, reg_loss=0.065072, lr=0.00000, time=1549.4 ms, rem=1.45 h
iter= 1650, img_loss=0.273177, reg_loss=0.063410, lr=0.00000, time=1521.6 ms, rem=1.42 h
iter= 1660, img_loss=0.302908, reg_loss=0.065751, lr=0.00000, time=1558.9 ms, rem=1.45 h
iter= 1670, img_loss=0.298589, reg_loss=0.066006, lr=0.00000, time=1560.1 ms, rem=1.44 h
iter= 1680, img_loss=0.280581, reg_loss=0.064849, lr=0.00000, time=1540.4 ms, rem=1.42 h
iter= 1690, img_loss=0.281610, reg_loss=0.064310, lr=0.00000, time=1533.3 ms, rem=1.41 h
iter= 1700, img_loss=0.280292, reg_loss=0.064769, lr=0.00000, time=1545.4 ms, rem=1.42 h
iter= 1710, img_loss=0.298734, reg_loss=0.065989, lr=0.00000, time=1558.3 ms, rem=1.42 h
iter= 1720, img_loss=0.285125, reg_loss=0.065194, lr=0.00000, time=1539.8 ms, rem=1.40 h
iter= 1730, img_loss=0.270678, reg_loss=0.063084, lr=0.00000, time=1510.8 ms, rem=1.37 h
iter= 1740, img_loss=0.293172, reg_loss=0.064778, lr=0.00000, time=1547.5 ms, rem=1.40 h
iter= 1750, img_loss=0.272894, reg_loss=0.063981, lr=0.00000, time=1526.9 ms, rem=1.38 h
iter= 1760, img_loss=0.291065, reg_loss=0.064618, lr=0.00000, time=1539.8 ms, rem=1.39 h
iter= 1770, img_loss=0.294986, reg_loss=0.065048, lr=0.00000, time=1552.7 ms, rem=1.39 h
iter= 1780, img_loss=0.282519, reg_loss=0.064446, lr=0.00000, time=1539.3 ms, rem=1.38 h
iter= 1790, img_loss=0.288414, reg_loss=0.065223, lr=0.00000, time=1554.9 ms, rem=1.39 h
iter= 1800, img_loss=0.309248, reg_loss=0.067297, lr=0.00000, time=1578.2 ms, rem=1.40 h
iter= 1810, img_loss=0.282856, reg_loss=0.064742, lr=0.00000, time=1528.7 ms, rem=1.35 h
iter= 1820, img_loss=0.275772, reg_loss=0.063583, lr=0.00000, time=1518.7 ms, rem=1.34 h
iter= 1830, img_loss=0.289636, reg_loss=0.065107, lr=0.00000, time=1550.1 ms, rem=1.36 h
iter= 1840, img_loss=0.302099, reg_loss=0.065798, lr=0.00000, time=1561.6 ms, rem=1.37 h
iter= 1850, img_loss=0.277162, reg_loss=0.064963, lr=0.00000, time=1539.6 ms, rem=1.35 h
iter= 1860, img_loss=0.290021, reg_loss=0.064795, lr=0.00000, time=1544.3 ms, rem=1.35 h
iter= 1870, img_loss=0.272329, reg_loss=0.064035, lr=0.00000, time=1526.3 ms, rem=1.33 h
iter= 1880, img_loss=0.273502, reg_loss=0.064976, lr=0.00000, time=1539.1 ms, rem=1.33 h
iter= 1890, img_loss=0.294474, reg_loss=0.065379, lr=0.00000, time=1550.3 ms, rem=1.34 h
iter= 1900, img_loss=0.293971, reg_loss=0.065893, lr=0.00000, time=1555.4 ms, rem=1.34 h
iter= 1910, img_loss=0.287091, reg_loss=0.064435, lr=0.00000, time=1535.9 ms, rem=1.32 h
iter= 1920, img_loss=0.282740, reg_loss=0.063711, lr=0.00000, time=1516.7 ms, rem=1.30 h
iter= 1930, img_loss=0.295726, reg_loss=0.065434, lr=0.00000, time=1550.2 ms, rem=1.32 h
iter= 1940, img_loss=0.300732, reg_loss=0.066339, lr=0.00000, time=1570.2 ms, rem=1.33 h
iter= 1950, img_loss=0.288378, reg_loss=0.065155, lr=0.00000, time=1547.9 ms, rem=1.31 h
iter= 1960, img_loss=0.288578, reg_loss=0.065167, lr=0.00000, time=1549.8 ms, rem=1.31 h
iter= 1970, img_loss=0.300081, reg_loss=0.065588, lr=0.00000, time=1557.7 ms, rem=1.31 h
iter= 1980, img_loss=0.280413, reg_loss=0.064157, lr=0.00000, time=1534.9 ms, rem=1.29 h
iter= 1990, img_loss=0.287729, reg_loss=0.064991, lr=0.00000, time=1536.6 ms, rem=1.28 h
iter= 2000, img_loss=0.287380, reg_loss=0.064598, lr=0.00000, time=1548.5 ms, rem=1.29 h
iter= 2010, img_loss=0.292172, reg_loss=0.065474, lr=0.00000, time=1558.6 ms, rem=1.29 h
iter= 2020, img_loss=0.307123, reg_loss=0.066262, lr=0.00000, time=1563.2 ms, rem=1.29 h
iter= 2030, img_loss=0.299878, reg_loss=0.065652, lr=0.00000, time=1557.5 ms, rem=1.28 h
iter= 2040, img_loss=0.287277, reg_loss=0.065299, lr=0.00000, time=1551.2 ms, rem=1.28 h
iter= 2050, img_loss=0.282379, reg_loss=0.064515, lr=0.00000, time=1532.7 ms, rem=1.26 h
iter= 2060, img_loss=0.284124, reg_loss=0.064424, lr=0.00000, time=1535.4 ms, rem=1.25 h
iter= 2070, img_loss=0.285450, reg_loss=0.064593, lr=0.00000, time=1531.6 ms, rem=1.25 h
iter= 2080, img_loss=0.290300, reg_loss=0.064513, lr=0.00000, time=1529.6 ms, rem=1.24 h
iter= 2090, img_loss=0.291430, reg_loss=0.065044, lr=0.00000, time=1546.7 ms, rem=1.25 h
iter= 2100, img_loss=0.276523, reg_loss=0.064291, lr=0.00000, time=1531.9 ms, rem=1.23 h
iter= 2110, img_loss=0.280577, reg_loss=0.064895, lr=0.00000, time=1540.2 ms, rem=1.24 h
iter= 2120, img_loss=0.276829, reg_loss=0.064614, lr=0.00000, time=1533.0 ms, rem=1.23 h
iter= 2130, img_loss=0.274662, reg_loss=0.063519, lr=0.00000, time=1522.4 ms, rem=1.21 h
iter= 2140, img_loss=0.280548, reg_loss=0.064516, lr=0.00000, time=1535.9 ms, rem=1.22 h
iter= 2150, img_loss=0.278864, reg_loss=0.064119, lr=0.00000, time=1530.2 ms, rem=1.21 h
iter= 2160, img_loss=0.277127, reg_loss=0.064063, lr=0.00000, time=1531.4 ms, rem=1.21 h
iter= 2170, img_loss=0.285386, reg_loss=0.064463, lr=0.00000, time=1536.5 ms, rem=1.21 h
iter= 2180, img_loss=0.270973, reg_loss=0.063363, lr=0.00000, time=1516.9 ms, rem=1.19 h
iter= 2190, img_loss=0.286359, reg_loss=0.064478, lr=0.00000, time=1543.0 ms, rem=1.20 h
iter= 2200, img_loss=0.284991, reg_loss=0.064091, lr=0.00000, time=1532.2 ms, rem=1.19 h
iter= 2210, img_loss=0.301264, reg_loss=0.065112, lr=0.00000, time=1556.5 ms, rem=1.21 h
iter= 2220, img_loss=0.270860, reg_loss=0.064089, lr=0.00000, time=1527.5 ms, rem=1.18 h
iter= 2230, img_loss=0.286619, reg_loss=0.064660, lr=0.00000, time=1540.5 ms, rem=1.19 h
iter= 2240, img_loss=0.281291, reg_loss=0.064464, lr=0.00000, time=1532.7 ms, rem=1.18 h
iter= 2250, img_loss=0.293704, reg_loss=0.065161, lr=0.00000, time=1548.4 ms, rem=1.18 h
iter= 2260, img_loss=0.295592, reg_loss=0.064974, lr=0.00000, time=1549.6 ms, rem=1.18 h
iter= 2270, img_loss=0.287890, reg_loss=0.065282, lr=0.00000, time=1546.8 ms, rem=1.17 h
iter= 2280, img_loss=0.294796, reg_loss=0.065507, lr=0.00000, time=1553.6 ms, rem=1.17 h
iter= 2290, img_loss=0.301573, reg_loss=0.065938, lr=0.00000, time=1562.9 ms, rem=1.18 h
